date,secchi,chlorophyll_a,tsi,turbidity,salinity,do,ph
2018-02-11,1.4908973399617125,13.044896940110442,55.710299538621285,104.9610075180963,0.0331804815791954,9.577151516521187,7.354302043408111
2018-12-23,2.155659669294728,15.5452205602732,57.47035875046681,101.1924127672083,0.1852096943705563,9.576649152763126,7.1512106150726815
2019-01-07,1.1712585932443589,9.58312449998843,52.54940794394575,147.18487518402708,0.1132808724213073,9.576867580241007,6.903548214732003
2019-01-22,2.2695579570654822,11.686932687588094,54.445535421907785,119.88238538879044,0.1038777688827115,9.577185046657144,6.665800918556056
2019-01-27,1.2809362565872051,6.329872493717423,47.91176479325826,168.948782435935,0.0317967601882573,9.57737776703565,-5.750656509576413
2019-02-06,1.756266732126985,11.13142411961237,54.004733272708464,128.02612276380358,0.1208548368663504,9.5771893350083,6.392924329771335
2019-02-11,1.9775614548956664,10.946922998049754,53.65587174358945,125.91273870529308,0.0899949674206161,9.577258550305894,6.536360901987817
2019-02-16,1.8774071427117789,13.548496956023808,55.781415850235526,115.40012044298513,0.1184616761624239,9.577155032372636,6.736187089301953
2019-02-21,2.410423612981136,12.09054429485876,54.512470031226414,118.97240021598286,0.0664388358987653,9.577394433644509,6.205976878784673
2019-02-26,1.916840107056816,12.428865151387413,54.722504926059045,120.3838397622518,0.0870592322187992,9.577327753713648,6.433179795439586
2019-03-08,2.333470787637356,11.264191676131675,53.02763323644846,133.09773143266335,0.0798197331294948,9.577383416069678,5.118542644208404
2019-03-13,1.681136523327063,24.101995315383736,61.52252018071057,126.3791095766271,0.0639275455760016,9.577315638765976,6.354598144672874
2019-03-23,1.5422504153322325,13.69562080658527,56.19459777180047,104.6618398489294,0.0228844275018233,9.577062532423236,7.320481252728108
2019-03-28,1.5685252524890942,12.819097135554486,55.21470103589279,128.9688230692042,0.1132917940452518,9.577300607730487,6.300544817176141
2019-04-07,2.211171090625646,13.736493524410117,56.061640182148125,122.42564614825044,0.1019387954030206,9.577177397652465,6.233765700347307
2019-04-17,1.5565831182246697,17.67600672133121,58.57924915983197,104.74531030764244,0.094556703270209,9.577469785315362,7.248138008416771
2019-04-22,1.5290120943811931,19.938214598058774,59.82276185622097,120.77770769943596,0.0940691954419205,9.577264976221466,6.85788961237304
2019-05-02,1.4670609229656912,24.871970535398237,61.7002867918137,130.62689993497247,0.0361670030206109,9.577552204823297,6.140581362724371
2019-11-13,2.040404983873313,8.612339870073386,50.742191356816924,153.8985039098081,0.0895397252622752,9.57737663910703,3.2906687644852823
2019-11-18,1.6724643476258216,10.48604605203482,53.4187650102174,119.96190037846412,0.078604442887984,9.577592767346951,7.079279351633403
2019-12-13,1.6577509675208195,9.845731505574872,52.56927886266784,136.73667387824673,0.1156798113705629,9.577282280780585,6.279284898028043
2019-12-23,2.591956805111886,11.647375154427168,54.13428406270069,120.81034310421568,0.1033326812609623,9.57743215847399,6.084599651017518
2019-12-28,2.432025900285816,14.812270432769854,56.87516112779254,108.47108367629517,0.097038880099494,9.57693144205322,6.930756980450542
2020-01-02,1.667465148967331,10.41363431778866,53.30163431362924,132.20781000737475,0.1281686720869396,9.577159844289522,6.372768557097987
2020-01-07,2.288902461768118,8.564168030939317,50.44962893810399,160.1570560249828,0.0155645144416579,9.577389963355603,-24.65371685126666
2020-01-12,1.6573991885681634,13.220446742064489,55.70927234588535,120.39000246767846,0.1499678015285573,9.577116863620567,6.834283426270971
2020-01-22,1.7771729150786213,12.1370132050948,54.84594270890224,124.73414728818967,0.1226171333506865,9.57724477658298,6.564373170668769
2020-01-27,1.9346005241809237,11.029114404021476,53.55573635508435,130.66758633033294,0.0834934528832006,9.577237866061171,6.389719779676882
2020-02-16,1.6710721716512995,9.887449875501568,52.36514853241912,137.62050534419637,0.0668665996627511,9.57729408610328,6.126901493490935
2020-02-21,1.8528642680332563,14.785059128972218,56.94055173825539,110.25676751760108,0.1478194477201214,9.577011653604734,6.9131109853762585
2020-03-07,2.237958807656599,13.962181496273672,56.02494606083204,112.59588002136,0.0736350288684075,9.577588071338685,6.760613263675731
2020-03-12,1.721219765238878,13.637848658164948,55.76760008839435,131.48803937110728,0.1157507110341801,9.577318428231042,5.965177951566961
2020-03-22,2.058361170243093,11.310195793119153,53.874597703765744,132.96628512358643,0.0977555118220094,9.577398701257968,5.662966403643529
2020-04-01,1.4734679090479208,14.648933104093272,56.699201528908354,126.68941445238076,0.1268815465889223,9.577208251177243,6.630602492494948
2020-04-11,1.5357141603030946,15.038547422491703,56.99742855684235,123.51099354584046,0.1217148529897596,9.577210865314202,6.647496479661086
2020-04-21,1.588866152873164,16.94702563178391,58.14195861842826,112.1462314069447,0.0900540703181556,9.577718186101349,6.850069672836885
2020-05-06,1.7793159778923713,15.466347230925791,57.04582615472837,118.40240226053405,0.0679598073715041,9.577580918401376,6.755330579360326
2020-05-26,1.674631245932319,18.83723080080724,59.08072491378278,105.39628371345589,0.0261504882805547,9.577735442165231,6.675199329484858
2020-08-24,1.5342212172495324,18.09208317595097,58.915734061474446,99.9064561719501,0.0371673670955995,9.5784166034568,7.318952900630339
2020-11-17,1.6298105384009205,11.079398404996478,53.960189717430495,133.1678140552157,0.1150237234134303,9.57726049512534,6.497932401542176
2020-12-07,1.411710757824554,13.56627951938066,56.07984253788901,125.64195880574606,0.11817814135126,9.576865047005908,6.911489922518447
2020-12-27,1.1063083330531591,15.207510163831904,57.24173533719914,136.1322251507219,0.1268874089884916,9.575978865487617,7.671140725659787
2021-01-11,1.8797667269967075,8.63370130700132,51.40034580699572,139.88022767193627,0.069607191716595,9.577129435897414,6.12475290459171
2021-02-05,1.9446871816601128,13.530609677850082,55.98959523956389,116.46286571662662,0.1188571025290722,9.577201104060489,6.63984946524888
2021-02-15,1.8353894584580612,9.80055675176838,52.42592323517995,138.04475787891437,0.1046432082686469,9.577329199967942,5.7620933038143685
2021-02-25,1.954542004823263,11.540811489985124,54.16892524734105,114.08821166957172,0.1358712154788659,9.57729627503032,6.817416680722768
2021-03-02,1.7859503610789118,9.452700515836922,51.94349069025706,148.18668658088282,0.0327623408690996,9.577308921811827,5.325467872423986
2021-03-07,1.7203019061208418,10.262956582351162,52.86799943858681,139.67024771826794,0.0893355741461231,9.577425351701368,5.692445105483976
2021-03-27,1.829629839961493,11.165194085901955,53.709885538088464,128.22384786093966,0.102557397478965,9.577360831180336,6.200547087589481
2021-04-26,1.4564710595048338,17.210915992270255,58.211446992009016,107.2103674290716,0.0501214864492622,9.577595429526864,7.13881659538677
2021-05-11,1.642612411353612,14.392745892360066,56.36749721162226,125.60985540046217,0.0505925780184754,9.577710948816186,6.450568197787698
2021-05-31,1.6992719094353657,17.66464655697311,58.58915388205272,103.58942292833817,0.0619276613569748,9.578189480043262,7.125186107610615
2021-06-20,1.2774014358429882,10.732553011886091,53.29937077446456,132.4433207086637,0.0800617985838781,9.577426374296472,7.088508404375424
2021-09-18,1.2427735831594673,12.801048361022085,55.17466246547094,132.55187564238844,0.0730202056393188,9.57710789422232,7.308962692037442
2021-10-28,1.206774545114042,13.142286327797397,55.78712025086845,129.19274408727154,0.144506501646992,9.576757303282603,7.304653964723317
2021-12-12,1.467095095229702,12.663448984979594,55.16739895087274,121.41878599914442,0.0759622043421412,9.577207113911012,6.679364624261348
2021-12-27,1.383080963620563,8.307468399002632,50.90555830094937,152.20617729976752,0.0634410948399162,9.577212485276348,6.05533400215482
2022-01-06,1.6217339931891657,8.881515626807904,51.33948724245791,159.1888837653713,0.0044112237063083,9.57725387866556,4.452945097940471
2022-01-16,3.094351505847985,8.344917282432291,50.14782280064424,138.0729744760448,0.0668628651202739,9.577278027166578,5.194979286995633
2022-01-21,2.0767197618900246,9.3671835841462,51.71576664534343,133.90275297833176,0.1057763984576224,9.577329827459357,5.907184329357801
2022-01-26,1.5636766014985468,12.324431678620009,55.16041315860444,108.01145776974931,0.0141588459584911,9.577139319480516,7.287424734442962
2022-03-07,1.5077589701924266,15.934089687816249,57.56752556274236,104.72512725595904,0.0533533254165222,9.57814515587463,7.266228463105221
2022-03-12,1.485679465187117,14.31343648176546,56.6210332677529,104.68257907558365,0.0308843346020073,9.577101374422387,7.313433384508815
2022-03-27,1.4511391639170892,14.652978452130348,56.74393690207828,104.66642781413567,0.0302128858673737,9.577715830259931,7.403250336940517
2022-04-11,1.5850279824879911,13.274885152854802,55.92663154672548,110.26125447522924,0.0662664716241437,9.576799196688423,7.125641275671395
2022-04-16,1.461108081615983,17.707703664482242,58.693031644967945,96.99295359295884,0.0479547427890555,9.577895689727704,7.506197493148376
2022-06-20,1.360098888437624,14.83480005949609,56.78676181984549,104.27074627018273,0.0374277057121013,9.577444075375992,7.428918689056122
2022-08-14,1.4663565550794986,17.202930606941152,58.45205911429409,99.92058613370598,0.0118704568826966,9.578180090983745,7.504624708545025
2023-01-16,1.4933261839676706,12.42378371536255,55.23898900969965,105.87954862775902,0.0234265200234168,9.577126849918509,7.360913045366843
2023-01-21,1.3638885167992127,12.85038830735053,55.60909742950052,115.18424729099598,0.0181981817924283,9.576928174087906,7.352308898982842
2023-02-15,1.5450098683679878,13.385300273604244,55.93912498304011,104.78651514998216,0.0220784531395947,9.577038054212665,7.334230880595945
2023-02-20,1.6474423620247698,13.077196399760693,55.74694881509725,108.46754065330994,0.0156049518964054,9.577044945373682,7.253108394695197
2023-03-07,1.5531993454150534,12.674194710088864,55.44884887882556,108.25500079699424,0.036905361027318,9.577047650648105,7.245150051884344
2023-03-12,1.5116261896565244,15.13650271093099,57.22473724721444,102.72500455247147,0.0342078201395445,9.576845244352477,7.379499287733928
2023-03-22,1.6419526886413114,13.781151329761691,56.26005268785769,104.31576697234912,0.0149588605031421,9.577116805971572,7.263340803615272
2023-03-27,1.4279702422084728,15.354472177904258,57.33484785383034,108.1202076844538,0.0261701750615966,9.57709097633811,7.271233272811875
2023-04-01,1.6159897672375358,14.27606408975483,56.62214052144343,108.03238997154185,0.0399848119865711,9.577088352446795,7.2067735884587325
2023-04-06,1.4798061955559187,13.246542218045589,55.797715995310334,107.69281743138666,0.0291198812365091,9.5772294898289,7.238514787201975
2023-04-11,1.4067006604664765,16.087623454542644,57.78824004952354,106.89463443023756,0.0235426039637564,9.577032492755784,7.45716540767937
2023-04-21,1.5367374452439506,16.613755230662786,58.121851927648265,105.45894742647006,0.0118729924854499,9.577653588999649,7.171971222185188
2023-05-06,1.3618587431408713,14.898880687956042,57.00481990379154,108.05351568509596,0.037776150191703,9.577233603491951,7.34882109187222
2023-05-16,1.3878801957538374,15.07538109594952,57.14547134246767,110.8920997577272,0.0273700808659649,9.577099461715262,7.265465050855528
2023-05-21,1.3199915353072555,14.80588033095634,56.900034847920494,114.4640877024057,0.0166895007987679,9.5770791837999,7.334313389117206
2023-06-20,1.5314267632021028,17.631509185604695,58.72724925766393,100.13599751120412,0.0506580171530767,9.578446014152023,7.387539965083096
2023-07-30,1.2012175406473455,14.125693835271358,56.48900753205345,118.37594309733517,0.0323277014889293,9.576549348978409,7.512077314692533
2023-08-19,1.5013440232808943,15.651593906631229,57.55085789283724,100.9938271422878,0.0322158307911914,9.576831935869604,7.429130549612614
2023-10-28,1.5610115028186795,12.593379885387984,55.35396047080626,105.58651308378715,0.0238474060320695,9.57725313209378,7.340552420345901
2023-11-22,1.2222665444224532,12.093621726337757,54.99246138991632,120.62483647948186,0.0251551088663364,9.576857077949477,7.381433812729906
2024-02-05,1.569064247685143,14.947299797415816,57.10849112446443,99.7540562430928,0.0238915189013182,9.577537102295008,7.430872832245954
2024-02-10,1.6225573191817753,13.6101174896935,56.15879896170878,106.87401740092275,0.0416167171230469,9.576907193089108,7.186030079370222
2024-02-25,1.625707583464163,13.317389840513531,55.90028195942104,104.41345915718269,0.0195155412597467,9.577110017183577,7.29297775608475
2024-03-11,1.543087811361316,14.210147400030726,56.59130512584194,107.9550124132003,0.0362190143666207,9.57694647423429,7.237486109132786
2024-03-16,1.5942293014034383,16.06782965858723,57.77024068667049,101.8340060028722,0.0276422631720503,9.577719118740877,7.253573897922076
2024-03-26,1.5711717100739957,13.744466555508364,56.20548157012029,106.19507172222512,0.0208016895339149,9.577108309954037,7.25605523723268
2024-03-31,1.3873502408374827,13.716787864561624,56.17239003045164,108.52294493428302,0.0286168554671809,9.577321154795104,7.309997262217119
2024-04-05,1.5198588715329726,13.889608779744073,56.34860321708815,105.76683982227271,0.0249478958468548,9.576997373695493,7.33062750798509
2024-04-15,1.4050332669350205,13.16383574768501,55.75440600304741,110.49259950055186,0.0199843697333624,9.577048547141482,7.331099098755241
2024-04-20,1.5368886846595469,14.91288364373697,57.00814960836757,104.32994010141353,0.0458383780157041,9.577673555128424,7.3517970687079135
2024-04-25,1.4547114500759455,14.324132393284504,56.62311124676801,105.97705067379636,0.026654901800781,9.577123514140816,7.338606605612572
2024-04-30,1.4470915751538624,14.611948689480217,56.84060141906941,104.7147848292785,0.0601690914007385,9.577049769010465,7.376151381182749
2024-05-15,1.4382583506143625,13.24494766907259,55.841927705843126,107.86636493857368,0.0244579721461742,9.577317979818858,7.337816841897641
2024-06-14,1.5812441809340665,17.285618996706347,58.548849544053375,101.70141438712017,0.1318302942290357,9.576332226594186,7.371752507717982
2024-10-07,1.6743354511878763,13.687087458318349,56.147912927095966,101.97727283674745,0.0323591673108896,9.576951306469429,7.345960787350502
2024-10-17,1.171798740253821,11.233180199264734,54.22982836690555,130.3655863773701,0.0243212937901518,9.576865486717391,7.327396305631214
2024-11-01,1.5483521322273717,16.018535812214473,57.72021658263064,99.31990425965236,0.0192713148191237,9.57716716598278,7.413244022283012
2024-11-16,1.517828878767722,12.69972397332506,55.40992486001169,107.3438709739097,0.0225145342369239,9.577196525937968,7.27300183946065
2024-12-01,1.468070173035931,11.705141784651529,54.657306258317405,114.86761515444245,0.0166643862247526,9.5769580491638,7.271342567628698
2024-12-26,1.3884440879719662,11.74738857424066,54.65087331459701,110.85556826348676,0.0264111141974575,9.577128971253725,7.336840390270987
2024-12-31,1.5166250694560262,11.846277395781682,54.79309047306989,111.51873162140538,0.018189154497511,9.576981128528448,7.289009591864236
2025-01-10,1.5921573058285174,12.470085923311192,55.285530881674966,107.40171144701957,0.0204238365166622,9.576914367833604,7.297348000667744
2025-01-15,1.352884519777157,12.600112258795134,55.3851014563481,115.10054000058815,0.0251199538885349,9.576799763826044,7.299065910453844
2025-01-20,1.553512036338816,11.566211692346444,54.51718928660181,108.46384164926836,0.0224489066743289,9.577127642290373,7.332937054740491
2025-01-25,1.5285931563609083,12.072460243834632,54.908960439559685,106.1046058389468,0.0339127070568665,9.577200328681784,7.315356071529105
2025-03-01,1.6632425954338403,12.830791955818762,55.55834870138305,109.40572183584132,0.017437776713017,9.577055612330152,7.181506420259537
