system:index,Chlorophyll_a,DO,Date,Salinity,Secchi_Depth,TSI,Turbidity,pH,.geo
20181223T034149_20181223T035212_T47PNL,12.46230396058198,9.576731406545981,2018-12-23,0.2249529345140647,1.2340177214557666,54.277541091799065,128.79271843514556,7.341203417138467,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190107T034131_20190107T034202_T47PNL,14.218432904694085,9.576508200303065,2019-01-07,0.23982171876879588,1.1193340764191524,55.95521074632052,135.90044265920568,7.55897139839589,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190122T034049_20190122T034312_T47PNL,11.981775926474564,9.577016212675632,2019-01-22,0.20782238594416658,1.4138084119803613,53.66955531839191,120.21711319980675,7.216547962183374,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190127T034021_20190127T035506_T47PNL,16.387758969465157,9.576808347282935,2019-01-27,0.18719145539755896,1.6086451922360958,56.9988846016973,91.91867881494686,7.606670209997534,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190201T033959_20190201T035021_T47PNL,11.748451080385662,9.57704946764264,2019-02-01,0.21038080135686277,1.3100376298310583,52.459525112398204,131.48211712364812,7.310109664103282,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190206T033931_20190206T035445_T47PNL,17.265754593150586,9.577747372391753,2019-02-06,0.1327304386320741,1.4620357426501605,58.01220666844415,98.33929762635249,7.434540105819043,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190211T033859_20190211T034916_T47PNL,10.767939247059141,9.577089383873155,2019-02-11,0.17231591360596404,1.3184699098584547,51.47079996829792,142.09932223860835,6.585524324776682,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190216T033821_20190216T034214_T47PNL,11.182356304995983,9.577109673261871,2019-02-16,0.21533687139570273,1.2770132249592308,52.05234586393509,128.73346875949431,7.019637355537747,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190221T033749_20190221T035456_T47PNL,10.050285044222178,9.57713384953147,2019-02-21,0.1824399645122514,1.3985977617075622,50.14967328408618,138.9253412553759,6.550493676580867,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190226T033711_20190226T034912_T47PNL,20.953985037408167,9.57896543301076,2019-02-26,0.058311839663789465,1.4486029077142344,59.99711333643815,90.01762377227634,7.509802013492989,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190308T033601_20190308T034140_T47PNL,11.511638590885855,9.577175553447454,2019-03-08,0.1808834834749133,1.326337267739139,52.25351931543905,117.46083659591032,7.238211776718596,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190313T033529_20190313T034531_T47PNL,17.137426738383443,9.577090007232389,2019-03-13,0.17282632068709272,1.454884900221549,58.04859460617389,92.44196902755552,7.642676716448605,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190323T033719_20190323T035427_T47PNL,11.297542167080742,9.577081957863324,2019-03-23,0.202284891251469,1.421119574279593,52.20057178662535,125.1794029075639,7.026920939724275,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190328T033701_20190328T034902_T47PNL,13.06348482416654,9.577096118260933,2019-03-28,0.23012938543799902,1.347190694712867,53.51560787972588,121.50753151138387,6.960315877527823,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190407T033541_20190407T034651_T47PNL,17.743673492568966,9.577784299240342,2019-04-07,0.14936860057710025,1.3681868666404677,58.38370550356993,92.67534387752691,7.616313595387888,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190417T033541_20190417T035456_T47PNL,11.184565102385047,9.577220335051946,2019-04-17,0.19788200609610246,1.4329583903647836,50.794289662540244,137.95793250800557,5.478084245237147,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190502T033549_20190502T035429_T47PNL,25.45244409492654,9.578548591778603,2019-05-02,0.1344201516726256,1.4083983042575927,61.755227249785925,69.77899889214117,7.93182630525646,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191113T034011_20191113T034532_T47PNL,11.208474392132636,9.577066161627661,2019-11-13,0.23033296786503535,1.1691397252035696,52.29969465313511,136.40971894310573,7.179673129894256,"{""type"":""MultiPoint"",""coordinates"":[]}"
