system:index,Chlorophyll_a,DO,Date,Salinity,Secchi_Depth,TSI,Turbidity,pH,.geo
20180211T033851_20180211T035058_T47PNM,13.044896940110442,9.577151516521187,2018-02-11,0.0331804815791954,1.4908973399617125,55.710299538621285,104.9610075180963,7.354302043408111,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181223T034149_20181223T035212_T47PNM,15.5452205602732,9.576649152763126,2018-12-23,0.1852096943705563,2.155659669294728,57.47035875046681,101.1924127672083,7.1512106150726815,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190107T034131_20190107T034202_T47PNM,9.58312449998843,9.576867580241007,2019-01-07,0.1132808724213073,1.1712585932443589,52.54940794394575,147.18487518402708,6.903548214732003,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190122T034049_20190122T034312_T47PNM,11.686932687588094,9.577185046657144,2019-01-22,0.1038777688827115,2.2695579570654822,54.445535421907785,119.88238538879044,6.665800918556056,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190127T034021_20190127T035506_T47PNM,6.329872493717423,9.57737776703565,2019-01-27,0.0317967601882573,1.2809362565872051,47.91176479325826,168.948782435935,-5.750656509576413,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190206T033931_20190206T035445_T47PNM,11.13142411961237,9.5771893350083,2019-02-06,0.1208548368663504,1.756266732126985,54.004733272708464,128.02612276380358,6.392924329771335,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190211T033859_20190211T034916_T47PNM,10.946922998049754,9.577258550305894,2019-02-11,0.0899949674206161,1.9775614548956664,53.65587174358945,125.91273870529308,6.536360901987817,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190216T033821_20190216T034214_T47PNM,13.548496956023808,9.577155032372636,2019-02-16,0.1184616761624239,1.8774071427117789,55.781415850235526,115.40012044298513,6.736187089301953,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190221T033749_20190221T035456_T47PNM,12.09054429485876,9.577394433644509,2019-02-21,0.0664388358987653,2.410423612981136,54.512470031226414,118.97240021598286,6.205976878784673,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190226T033711_20190226T034912_T47PNM,12.428865151387413,9.577327753713648,2019-02-26,0.0870592322187992,1.916840107056816,54.722504926059045,120.3838397622518,6.433179795439586,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190308T033601_20190308T034140_T47PNM,11.264191676131675,9.577383416069678,2019-03-08,0.0798197331294948,2.333470787637356,53.02763323644846,133.09773143266335,5.118542644208404,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190313T033529_20190313T034531_T47PNM,24.101995315383736,9.577315638765976,2019-03-13,0.0639275455760016,1.681136523327063,61.52252018071057,126.3791095766271,6.354598144672874,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190323T033719_20190323T035427_T47PNM,13.69562080658527,9.577062532423236,2019-03-23,0.0228844275018233,1.5422504153322325,56.19459777180047,104.6618398489294,7.320481252728108,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190328T033701_20190328T034902_T47PNM,12.819097135554486,9.577300607730487,2019-03-28,0.1132917940452518,1.5685252524890942,55.21470103589279,128.9688230692042,6.300544817176141,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190407T033541_20190407T034651_T47PNM,13.736493524410117,9.577177397652465,2019-04-07,0.1019387954030206,2.211171090625646,56.061640182148125,122.42564614825044,6.233765700347307,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190417T033541_20190417T035456_T47PNM,17.67600672133121,9.577469785315362,2019-04-17,0.094556703270209,1.5565831182246697,58.57924915983197,104.74531030764244,7.248138008416771,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190422T033539_20190422T035427_T47PNM,19.938214598058774,9.577264976221466,2019-04-22,0.0940691954419205,1.5290120943811931,59.82276185622097,120.77770769943596,6.85788961237304,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190502T033549_20190502T035429_T47PNM,24.871970535398237,9.577552204823297,2019-05-02,0.0361670030206109,1.4670609229656912,61.7002867918137,130.62689993497247,6.140581362724371,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191113T034011_20191113T034532_T47PNM,8.612339870073386,9.57737663910703,2019-11-13,0.0895397252622752,2.040404983873313,50.742191356816924,153.8985039098081,3.2906687644852823,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191118T034029_20191118T035303_T47PNM,10.48604605203482,9.577592767346951,2019-11-18,0.078604442887984,1.6724643476258216,53.4187650102174,119.96190037846412,7.079279351633403,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191213T034141_20191213T034814_T47PNM,9.845731505574872,9.577282280780585,2019-12-13,0.1156798113705629,1.6577509675208195,52.56927886266784,136.73667387824673,6.279284898028043,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191223T034141_20191223T034820_T47PNM,11.647375154427168,9.57743215847399,2019-12-23,0.1033326812609623,2.591956805111886,54.13428406270069,120.81034310421568,6.084599651017518,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191228T034139_20191228T035104_T47PNM,14.812270432769854,9.57693144205322,2019-12-28,0.097038880099494,2.432025900285816,56.87516112779254,108.47108367629517,6.930756980450542,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200102T034141_20200102T034813_T47PNM,10.41363431778866,9.577159844289522,2020-01-02,0.1281686720869396,1.667465148967331,53.30163431362924,132.20781000737475,6.372768557097987,"{""type"":""MultiPoint"",""coordinates"":[]}"
