system:index,Chlorophyll_a,DO,Date,Salinity,Secchi_Depth,TSI,Turbidity,pH,.geo
20180211T033851_20180211T035058_T47PMM,16.136255798097324,9.576481547984251,2018-02-11,0.10277349620012662,1.4321910345259965,57.70736525390597,91.52281228011371,7.610427883540207,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180211T033851_20180211T035058_T47PNM,17.294148739066937,9.576347213906981,2018-02-11,0.10868142882411064,1.4166513395319067,58.36471452156708,88.05557955798352,7.673573748895748,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181223T034149_20181223T035212_T47PMM,22.436261513493427,9.576689075543845,2018-12-23,0.24222601145705028,1.2103032995121885,59.96157141194485,93.12533159430569,7.932409279717259,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181223T034149_20181223T035212_T47PNM,22.64789764207735,9.5765991865794,2018-12-23,0.2502693680657494,1.3527845327930337,60.70467032742938,82.30213824921952,7.838620906121887,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190107T034131_20190107T034202_T47PNM,19.52414361021968,9.577659829279485,2019-01-07,0.11040585232498117,1.417198679498189,59.51286980096118,95.74429343695957,7.562746902230117,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190122T034049_20190122T034312_T47PMM,18.619962703607868,9.576881661146233,2019-01-22,0.21625892868796115,1.3394751124270527,57.60180483111356,97.64941335560263,7.684515717570322,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190122T034049_20190122T034312_T47PNM,19.70728694846646,9.576841228707965,2019-01-22,0.22158265394629298,1.3841256958293886,58.53425248955977,91.96743302622606,7.708748194255409,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190127T034021_20190127T035506_T47PMM,24.043785577500437,9.577326274675395,2019-01-27,0.2302643734715225,1.2840486088142675,58.8490765825742,92.43003613813138,7.630116375275186,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190127T034021_20190127T035506_T47PNM,24.37789771386935,9.577484196509156,2019-01-27,0.22604440477781076,1.2866641129582679,58.60329536963372,97.3306208097945,7.408706573704673,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190206T033931_20190206T035445_T47PNM,19.094322989723022,9.580642907860797,2019-02-06,0.047760001544768,1.5847428034725182,59.52104681857072,95.04328010023941,7.478013305597856,"{""type"":""MultiPoint"",""coordinates"":[]}"
